## T2R Prompts
## Format: filename | sensor | prompt
## Images: WebP, quality 80%

058-the-flower-appears-to-be | Nikon D5200 | The flower appears to be in a vase or a pot, and it is surrounded by some green leaves. The lighting in the scene is...
059-there-are-several-people-walking | Olympus E-PL6 | There are several people walking across the bridge, creating a bustling atmosphere. The bridge is surrounded by buildings, including a clock tower, which adds to the cityscape's character. The...
060-the-cow-appears-to-be | Panasonic GX1 | The cow appears to be looking at the camera, as if posing for a photo. The sun is shining brightly in the background, casting a warm and inviting light on the scene.
061-the-sign-reads-tulipa-s | Samsung NX2000 | The sign reads "Tulipa's Wonderland" and is placed in the center of the tulip field. There are many other tulipes around the sign, creating a...
062-the-water-is-calm-and | Sony A57 | The water is calm and serene, creating a peaceful atmosphere. There are several trees surrounding the lake, providing shade and adding to the natural beauty of the scene.
063-the-building-has-several-balconies | Canon EOS-1Ds III | The building has several balconies and awnings, giving it a unique appearance. There is also a yellow car parked in front of the building, adding to the vibrant and...
064-they-are-accompanied-by-adults | Canon EOS 600D | They are accompanied by adults and other people, creating a festive atmosphere. The parade is likely part of a celebration or event, with the children dressed up as...
065-the-building-is-surrounded-by | Fujifilm X-M1 | The building is surrounded by trees and bushes, and there are mountains visible in the background. The cloudy sky adds to the overall atmosphere of the scene.
066-the-garden-includes-a-variety | Nikon D40 | The garden includes a variety of plants, trees, and flowers, as well as a wooden bench. There are also several potted plants scattered throughout the garden, adding to its lush and colorful appearance...
067-a-boat-can-be-seen | Nikon D5200 | A boat can be seen sailing along the canal, adding to the picturesque atmosphere of the location. There is a clear blue sky in the background,...
068-the-building-has-several-windows | Olympus E-PL6 | The building has several windows and appears to be quite old, possibly dating back to the 1800s or earlier. There are trees surrounding the building and the river, adding to the serene atmosphere...
069-the-flowers-appear-to-be | Panasonic GX1 | The flowers appear to be small and delicate, adding a touch of color and beauty to the overall scene.
070-they-are-accompanied-by-adults | Samsung NX2000 | They are accompanied by adults and other people, creating a festive atmosphere. There is a building in the background, possibly serving as a venue for the event. The scene is well-lit...
071-the-building-is-situated-in | Sony A57 | The building is situated in a residential area, surrounded by trees and bushes. There is a sidewalk next to the building, and a street sign can be seen on the sidewalk near the building's entrance. The...
072-the-building-has-a-lamp | Canon EOS-1Ds III | The building has a lamp post in front of it, providing illumination for the area. There is also a car parked near the building, adding to the overall winter atmosphere.
073-the-building-is-surrounded-by | Canon EOS 600D | The building is surrounded by other tall buildings, and there is a statue in front of the building as well. The scene is set against a clear blue sky, providing a beautiful backdrop for the architecture.
074-the-boats-are-anchored-in | Fujifilm X-M1 | The boats are anchored in the middle of the lake, creating a peaceful and serene atmosphere. The water is surrounded by lush green mountains, adding to the pictures...
075-the-street-is-lined-with | Nikon D40 | The street is lined with tall buildings on both sides, and there is a do not enter sign hanging from one of the buildings. A car is parked on the side of the street, and...
076-the-building-is-situated-in | Nikon D5200 | The building is situated in a cityscape, surrounded by other buildings and trees. There is a clear blue sky visible in the background, providing a bright and sunny atmosphere. The...
077-the-snow-covered-peaks-stretch | Olympus E-PL6 | The snow-covered peaks stretch out as far as the eye can see, creating a breathtaking landscape.
078-the-woman-is-sitting-on | Panasonic GX1 | The woman is sitting on top of the deer, and she appears to be holding a bow and arrow. The sculpture is made of white marble and is placed on a pedestal, showcasing...
079-the-valley-is-filled-with | Samsung NX2000 | The valley is filled with wildflowers and grasses, creating a vibrant and colorful landscape. There is also a wooden bench in the foreground, providing a resting spot for visitors...
080-the-painting-depicts-the-annunciation | Sony A57 | The painting depicts the Annunciation, which is the announcement by the angel Gabriel to the Virgin Mary that she will give birth to Jesus Christ. The woman in the painting is...
081-the-river-is-filled-with | Canon EOS-1Ds III | The river is filled with water, and there is a small waterfall in the background. A person is standing near the river, possibly enjoying the scenery or taking a photo.
082-the-village-is-surrounded-by | Canon EOS 600D | The village is surrounded by trees, and there are several houses visible in the scene. The hillside is covered with lush grass, making it an idyllic setting for the village. The...
083-the-street-is-lined-with | Fujifilm X-M1 | The street is lined with tall buildings and trees, creating a scenic view of the cityscape. The sun is shining brightly in the sky, casting a warm and inviting light...
084-there-are-several-people-visible | Nikon D40 | There are several people visible in the scene, including a child and an adult. The alley is surrounded by various architectural elements, such as arches, windows, and...
085-the-bench-provides-a-scenic | Nikon D5200 | The bench provides a scenic view of the natural surroundings, including the water and the mountains in the background. The lighting in the scene...
086-the-monument-is-likely-the | Olympus E-PL6 | The monument is likely the Obelisk of Theodosius, which is located in the Piazza del Popolo in Rome, Italy. The plaza...
087-the-tower-has-a-clock | Panasonic GX1 | The tower has a clock on its top, and there is a boat docked near the tower. The scene is illuminated by sunlight, casting shadows on...
088-the-building-has-several-windows | Samsung NX2000 | The building has several windows and balconies, giving it a grand and imposing appearance. The clock is visible on the front of the building, adding to its architect...
089-the-bottle-appears-to-be | Sony A57 | The bottle appears to be open, and the person is preparing to celebrate or enjoy the champagne. The scene takes place in an indoor setting, possibly a party or event venue...
090-the-building-appears-to-be | Canon EOS-1Ds III | The building appears to be an old castle or mansion, with its reflection visible in the water. The setting is characterized by a serene and peaceful atmosphere, making it an ideal location...
091-the-pathway-is-lined-with | Canon EOS 600D | The pathway is lined with trees and bushes, creating a serene and peaceful atmosphere. The setting appears to be in a mountainous area, with the surrounding mountains visible...
092-there-is-also-an-airport | Fujifilm X-M1 | There is also an airport terminal building in the background, which suggests that the airplane is preparing to take off or has just landed. The sun is shining brightly...
093-the-flower-is-quite-large | Nikon D40 | The flower is quite large and stands out among the other plants in the garden. The lighting in the scene is bright and well-lit...
094-the-building-appears-to-be | Nikon D5200 | The building appears to be an apartment or a house, as there are several windows visible on the upper floors. The greenery on the building's exterior gives it a lush and vibrant...
095-the-water-is-calm-and | Olympus E-PL6 | The water is calm, and the birds appear to be enjoying their time in the water. The scene is characterized by a serene atmosphere, with the birds peacefully sw...
096-a-small-cabin-or-hut | Panasonic GX1 | A small cabin or hut can be seen perched on the side of the mountain, providing a sense of isolation and remoteness. The sun is shining brightly...
097-the-building-has-a-stone | Samsung NX2000 | The building has a stone facade, and there are tables and chairs placed outside, creating an outdoor dining area. The setting appears to be peaceful and inviting, perfect for enjoying a me...
098-there-are-several-trees-surrounding | Sony A57 | There are several trees surrounding the area, providing a natural setting for the people to enjoy their walk. The stairs lead down to a lower level, where there are more trees and a park-like...
099-the-building-is-surrounded-by | Canon EOS-1Ds III | The building is surrounded by tall grass and weeds, and there is a person standing near the entrance of the building. The setting appears to be an ancient ruin, possibly from the Roman...
100-the-town-is-visible-from | Canon EOS 600D | The town is visible from a distance, with houses and buildings visible in the background. There is a tree in the foreground of the image, providing shade and adding to...
101-the-water-is-calm-and | Fujifilm X-M1 | The water is calm and reflects the surrounding landscape, creating a peaceful and picturesque setting. The grassy area around the lake adds to the natural beauty of the scene, making it an ideal location for...
102-the-building-appears-to-be | Nikon D40 | The building appears to be in a state of disrepair, as it is surrounded by overgrown grass and weeds. The sun is shining in the background, casting a bright light on the...
103-they-are-standing-close-to | Nikon D5200 | They are standing close to each other, with their masks covering their faces. There is a third person in the background, but they are not wearing masks. The scene is...
104-the-staircase-is-illuminated-by | Olympus E-PL6 | The staircase is illuminated by a single light fixture, casting a warm and inviting glow over the area. The people are moving towards the top of the stairs, creating a sense...
105-the-misty-atmosphere-adds-to | Panasonic GX1 | The misty atmosphere adds to the mysterious and enchanting atmosphere of the forest, making it an ideal location for a peaceful walk or hike.
106-the-street-is-surrounded-by | Samsung NX2000 | The street is surrounded by mountains, which can be seen in the background, adding to the serene and peaceful setting. The lighting in the scene is dim, casting a soft g...
107-the-vineyards-are-lush-and | Sony A57 | The vineyards are lush and green, with rows of grapevines stretching out across the landscape. The mountainous backdrop provides a picturesque setting for this rural area.
108-there-are-several-benches-along | Canon EOS-1Ds III | There are several benches along the path, providing seating for people to rest and enjoy the scenic view of the lake. The path also leads to a wooden bridge over the lake, allowing visitors to cross over and explore the...
109-the-trail-is-lined-with | Canon EOS 600D | The trail is lined with a wooden fence, adding to the rustic charm of the area. The foggy atmosphere creates a mystical and peaceful atmosphere, making it an ideal location...
110-the-necklace-is-adorned-with | Fujifilm X-M1 | The necklace is adorned with different types of beads, including clear, brown, and gold-colored beads. Additionally, there is a small...
111-the-building-is-surrounded-by | Nikon D40 | The building is surrounded by a moat, which is filled with water, and there is a bridge connecting the castle to the other side of the moat. The castle's exterior is adorned...
112-there-are-two-people-standing | Nikon D5200 | There are two people standing in the park, one near a bench and the other near a tree. The lighting in the scene appears to be bright and sunny, casting a...
113-the-building-is-surrounded-by | Olympus E-PL6 | The building is surrounded by various vehicles, including cars, motorcycles, and bicycles, indicating that it is an active area with a lot of traffic. The...
114-there-are-several-windmills-in | Panasonic GX1 | There are several windmills in the farm, each with its own unique design and color. The farm is well-maintained and appears to be a popular tourist attraction, as there are...
115-the-sun-is-shining-brightly | Samsung NX2000 | The sun is shining brightly, casting a warm and inviting light on the landscape. The mountain range is visible in the background, adding to the serene and...
116-there-is-also-a-bed | Sony A57 | There is also a bed in the room, which is positioned near the shelves. The lighting appears to be bright and well-...
117-the-room-is-dimly-lit | Canon EOS-1Ds III | The room is dimly lit, with only a small amount of natural light coming in through the window. The shelves are filled with various...
118-the-people-are-standing-on | Canon EOS 600D | The people are standing on the steps leading up to the entrance of the building, and there are several potted plants placed around the area, adding to the...
119-the-statue-is-made-of | Fujifilm X-M1 | The statue is made of stone and appears to be quite large. There are two other statues in the same room, but they are smaller in size and not as prominent as the main statue. The statues...
